S.N.,X,Y,3rd side,A,B,C,4th side,D
1,0,0,1,189,18.9,170.1,141,126.9
2,18.9,0,2,189,37.8,151.2,141,126.9
3,37.8,0,3,189,56.7,132.3,141,112.8
4,56.7,0,4,189,75.6,113.4,141,98.7
5,75.6,0,5,189,94.5,94.5,141,84.6
6,94.5,0,6,189,113.4,75.6,141,70.5
7,113.4,0,7,189,132.3,56.7,141,56.4
8,132.3,0,8,189,151.2,37.8,141,42.3
9,151.2,0,9,189,170.1,18.9,141,28.2
10,170.1,0,10,189,189,0,141,14.1
11,189,0,,,,,141,0
12,189,14.1,,,,,,
13,189,28.2,,,,,,
14,189,42.3,,,,,,
15,189,56.4,,,,,,
16,189,70.5,,,,,,
17,189,84.6,,,,,,
18,189,98.7,,,,,,
19,189,112.8,,,,,,
20,189,126.9,,,,,,
21,189,141,,,,,,
22,170.1,141,,,,,,
23,151.2,141,,,,,,
24,132.3,141,,,,,,
25,113.4,141,,,,,,
26,94.5,141,,,,,,
27,75.6,141,,,,,,
28,56.7,141,,,,,,
29,37.8,141,,,,,,
30,18.9,141,,,,,,
31,0,141,,,,,,
32,0,126.9,,,,,,
33,0,126.9,,,,,,
34,0,112.8,,,,,,
35,0,98.7,,,,,,
36,0,84.6,,,,,,
37,0,70.5,,,,,,
38,0,56.4,,,,,,
39,0,42.3,,,,,,
40,0,28.2,,,,,,
41,0,14.1,,,,,,
